Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
sammon_2021_lower_crust, 0.0, 0.0, 53.3, 0.980, 17.20, 0.0, 7.12, 0.156, 7.63, 10.15, 2.63, 0.698, 0.162,,,,,,,,,,,,,,,,
sammon_2021_deep_crust,  0.0, 0.0, 57.6, 0.889, 16.66, 0.0, 6.44, 0.153, 5.87, 8.210, 2.93, 1.060, 0.156,,,,,,,,,,,,,,,,
rudnick_2014_lower_crust,0.0, 0.0, 53.4, 0.820, 16.90, 0.0, 8.57, 0.100, 7.24, 9.590, 2.65, 0.610, 0.100,,,,,,,,,,,,,,,,
hacker_2015_md_xenolith, 0.0, 0.0, 52.1, 0.900, 17.00, 0.0, 9.00, 0.150, 7.30, 10.30, 2.60, 0.500, 0.130,,,,,,,,,,,,,,,,
mackwell_1998_maryland_diabase,0.0,0.0,51.66,0.73,15.29,0.0,10.19,0.0,8.03,11.34,2.14,0.34,0.0,,,,,,,,,,,,,,,,
interp-01,0.0,0.0,45,1.0964560450122465,17.015769698249606,0,10.600821477446122,0.1935647678989684,10.040576612777706,12.93303777763225,2.3044844691629067,-0.07898177391740102,0.17655539218346666,,,,,,,,,,,,,,,,
interp-02,0.0,0.0,46,1.0735070828167743,16.91268757208194,0,10.330678544948716,0.18856589262312493,9.660974359133007,12.49337858294961,2.3621492269947484,0.04585523032477923,0.1763047447156862,,,,,,,,,,,,,,,,
interp-03,0.0,0.0,47,1.0505581206213022,16.809605445914272,0,10.06053561245131,0.18356701734728148,9.281372105488309,12.05371938826697,2.4198139848265905,0.17069223456695948,0.17605409724790572,,,,,,,,,,,,,,,,
interp-04,0.0,0.0,48,1.0276091584258302,16.70652331974661,0,9.790392679953904,0.178568142071438,8.90176985184361,11.614060193584326,2.477478742658432,0.29552923880913884,0.17580344978012521,,,,,,,,,,,,,,,,
interp-05,0.0,0.0,49,1.004660196230358,16.60344119357894,0,9.520249747456496,0.17356926679559453,8.522167598198912,11.174400998901685,2.535143500490274,0.4203662430513191,0.17555280231234474,,,,,,,,,,,,,,,,
interp-06,0.0,0.0,50,0.9817112340348859,16.500359067411274,0,9.250106814959091,0.1685703915197511,8.142565344554217,10.734741804219041,2.5928082583221155,0.5452032472934993,0.17530215484456427,,,,,,,,,,,,,,,,
interp-07,0.0,0.0,51,0.958762271839414,16.39727694124361,0,8.979963882461686,0.16357151624390764,7.762963090909519,10.2950826095364,2.650473016153957,0.6700402515356787,0.17505150737678377,,,,,,,,,,,,,,,,
interp-08,0.0,0.0,52,0.9358133096439418,16.294194815075944,0,8.709820949964278,0.15857264096806417,7.383360837264821,9.85542341485376,2.708137773985799,0.794877255777859,0.1748008599090033,,,,,,,,,,,,,,,,
interp-09,0.0,0.0,53,0.9128643474484697,16.191112688908277,0,8.439678017466871,0.1535737656922207,7.003758583620122,9.415764220171116,2.7658025318176405,0.9197142600200392,0.17455021244122282,,,,,,,,,,,,,,,,
interp-10,0.0,0.0,54,0.8899153852529977,16.088030562740613,0,8.169535084969466,0.14857489041637723,6.624156329975428,8.976105025488476,2.8234672896494826,1.0445512642622186,0.17429956497344234,,,,,,,,,,,,,,,,
interp-11,0.0,0.0,55,0.8669664230575256,15.984948436572946,0,7.8993921524720605,0.14357601514053375,6.244554076330729,8.536445830805835,2.8811320474813242,1.1693882685043988,0.17404891750566184,,,,,,,,,,,,,,,,
interp-12,0.0,0.0,56,0.8440174608620534,15.881866310405279,0,7.629249219974653,0.13857713986469028,5.864951822686031,8.096786636123191,2.938796805313166,1.294225272746579,0.17379827003788137,,,,,,,,,,,,,,,,
interp-13,0.0,0.0,57,0.8210684986665815,15.778784184237612,0,7.359106287477246,0.13357826458884686,5.4853495690413325,7.657127441440551,2.9964615631450076,1.4190622769887584,0.1735476225701009,,,,,,,,,,,,,,,,
interp-14,0.0,0.0,58,0.7981195364711093,15.675702058069948,0,7.088963354979841,0.1285793893130034,5.105747315396638,7.217468246757907,3.054126320976849,1.5438992812309387,0.1732969751023204,,,,,,,,,,,,,,,,
interp-15,0.0,0.0,59,0.7751705742756372,15.572619931902281,0,6.818820422482435,0.12358051403715992,4.726145061751939,6.777809052075266,3.111791078808691,1.668736285473119,0.17304632763453992,,,,,,,,,,,,,,,,
interp-16,0.0,0.0,60,0.7522216120801652,15.469537805734614,0,6.548677489985028,0.11858163876131644,4.346542808107241,6.338149857392626,3.1694558366405325,1.7935732897152983,0.17279568016675945,,,,,,,,,,,,,,,,
interp-17,0.0,0.0,61,0.7292726498846931,15.366455679566949,0,6.278534557487621,0.11358276348547297,3.9669405544625427,5.898490662709982,3.2271205944723746,1.9184102939574785,0.17254503269897897,,,,,,,,,,,,,,,,
interp-18,0.0,0.0,62,0.7063236876892209,15.263373553399283,0,6.008391624990217,0.10858388820962955,3.587338300817848,5.458831468027341,3.2847853523042163,2.043247298199659,0.17229438523119847,,,,,,,,,,,,,,,,
interp-19,0.0,0.0,63,0.683374725493749,15.160291427231616,0,5.73824869249281,0.10358501293378608,3.2077360471731495,5.019172273344697,3.342450110136058,2.168084302441838,0.172043737763418,,,,,,,,,,,,,,,,
interp-20,0.0,0.0,64,0.6604257632982768,15.057209301063951,0,5.468105759995403,0.09858613765794261,2.828133793528451,4.579513078662057,3.4001148679678996,2.2929213066840184,0.17179309029563752,,,,,,,,,,,,,,,,
interp-21,0.0,0.0,65,0.6374768011028047,14.954127174896286,0,5.197962827497996,0.09358726238209913,2.448531539883753,4.139853883979416,3.4577796257997413,2.4177583109261986,0.17154244282785702,,,,,,,,,,,,,,,,
